curve_id,study_id,temp_init,mean_temp,dtr,fluc_type,period_flux,trait,units,response,sample_size,variance_type,variance_value,qual_measure,ind_pop,genus,species,ls_treat,body_size
59,garcaruiz2011,24,15,0,1,24,developmental time,days,29.48,101,0,0.07,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,15,6.5,1,24,developmental time,days,29.6,113,0,0.32,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,18,0,1,24,developmental time,days,17.52,114,0,0.05,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,18,12.5,1,24,developmental time,days,16.04,155,0,0.04,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,21,0,1,24,developmental time,days,10.3,107,0,0.07,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,21,13,1,24,developmental time,days,11.48,148,0,0.08,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,24,0,1,24,developmental time,days,8.02,115,0,0.02,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,24,13,1,24,developmental time,days,10.61,184,0,0.04,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,27,0,1,24,developmental time,days,7,77,0,0,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,27,13,1,24,developmental time,days,7.56,186,0,0.04,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,30,0,1,24,developmental time,days,6.95,106,0,0.03,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,30,13,1,24,developmental time,days,7.32,150,0,0.07,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,32,0,1,24,developmental time,days,6.03,68,0,0.09,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,32,10,1,24,developmental time,days,7.25,96,0,0.09,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,34,0,1,24,developmental time,days,6.41,144,0,0.09,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,34,6,1,24,developmental time,days,7.31,128,0,0.15,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,35,0,1,24,developmental time,days,7.48,178,0,0.12,0,0,Xylotrechus,arvicola,1,1
59,garcaruiz2011,24,35,4.5,1,24,developmental time,days,8,103,0,NA,0,0,Xylotrechus,arvicola,1,1
